n,time[ms]
29000,11502,Ashing Abierto Entrada Long
29000,12076,Ashing Abierto Entrada String
29000,8957,Ashing Cerrado Entrada String
29000,931617,Ashing Cerrado Entrada Long
29000,10194,Arbol Entrada Long
29000,11956,Arbol Entrada String
