n,time[ms]
10000,3652,Ashing Abierto Entrada Long
10000,5117,Ashing Abierto Entrada String
10000,13915,Ashing Cerrado Entrada String
10000,151671,Ashing Cerrado Entrada Long
10000,3165,Arbol Entrada Long
10000,4328,Arbol Entrada String
