n,time[ms]
5000,5624,Ashing Abierto Entrada Long
5000,2711,Ashing Abierto Entrada String
5000,5062,Ashing Cerrado Entrada String
5000,42309,Ashing Cerrado Entrada Long
5000,1403,Arbol Entrada Long
5000,2085,Arbol Entrada String
