n,time[ms]
1000,374,Ashing Abierto Entrada Long
1000,734,Ashing Abierto Entrada String
1000,827,Ashing Cerrado Entrada String
1000,3820,Ashing Cerrado Entrada Long
1000,241,Arbol Entrada Long
1000,460,Arbol Entrada String
