n,time[ms]
20000,7920,Ashing Abierto Entrada Long
20000,9238,Ashing Abierto Entrada String
20000,45305,Ashing Cerrado Entrada String
20000,525571,Ashing Cerrado Entrada Long
20000,6783,Arbol Entrada Long
20000,8676,Arbol Entrada String
