n,time[ms]
15000,5419,Ashing Abierto Entrada Long
15000,6766,Ashing Abierto Entrada String
15000,34171,Ashing Cerrado Entrada String
15000,407921,Ashing Cerrado Entrada Long
15000,4831,Arbol Entrada Long
15000,6199,Arbol Entrada String
