n,time[ms]
1000,442,Ashing Abierto Entrada Long
1000,859,Ashing Abierto Entrada String
1000,474,Ashing Cerrado Entrada String
1000,1922,Ashing Cerrado Entrada Long
1000,303,Arbol Entrada Long
1000,605,Arbol Entrada String
1000,23,Buesqueda en Arbol Entrada Long
1000,82,Buesqueda en Arbol Entrada String
1000,1692,Buesqueda ht abierto Entrada Long
1000,1768,Buesqueda ht abierto Entrada String
1000,624,Buesqueda ht cerrado Entrada String
1000,2274,Buesqueda ht cerrado Entrada Long
1000,26,Buesqueda en Arbol Entrada Long no listado
1000,59,Buesqueda en Arbol Entrada String no listado
1000,1074,Buesqueda ht abierto Entrada Long no listado
1000,1029,Buesqueda ht abierto Entrada String no listado
1000,739,Buesqueda ht cerrado Entrada String no listado
1000,1522,Buesqueda ht cerrado Entrada Long no listado
